테마,종목1,종목2,종목코드1,종목코드2
농업 - 종자·비료·농약,성보화학,아시아종묘,003080,154030
지진,코리아에스이,KT서브마린,101670,060370
철도,제룡전기,피앤씨테크,033100,237750
패션/의류,공구우먼,국동,366030,005320
사물인터넷,핸디소프트,이아이디,220180,093230
전기차 - 배터리 공정장비,티에스아이,디와이피엔에프,277880,104460
야놀자 관련주,한화생명,한화투자증권,088350,003530
남북경협 - 광물자원개발,시노펙스,SH에너지화학,025320,002360
골프,베뉴지,크리스에프앤씨,019010,110790
타이어,금호타이어,골든센츄리,073240,900280
반도체·디스플레이 - 이송장비,에스에프에이,로체시스템즈,056190,071280
제습기,삼성전자,파세코,005930,037070
무선충전,알에프텍,이랜텍,061040,054210
쿠팡 관련주,엔비티,NEW,236810,160550
골판지 제조,대양제지,신대양제지,006580,016590
농업 - 농기계,대동기어,TYM,008830,002900
드론·플라잉카,피씨디렉트,한빛소프트,051380,047080
CCTV,인콘,에스원,083640,012750
스마트팩토리 (제조용 로봇),현대무벡스,우신시스템,319400,017370
방위산업,웨이브일렉트로,이엠코리아,095270,095190
코로나19(화이자),유한양행,파미셀,000100,005690
피팅·밸브,에쎈테크,화성밸브,043340,039610
마이크로 LED,삼성전자,LG전자,005930,066570
비철금속-니켈,현대비앤지스틸,황금에스티,004560,032560
조선 대표주,HJ중공업,현대중공업,097230,329180
여름,배럴,에쎈테크,267790,043340
항공·우주,아스트,인텔리안테크,067390,189300
화재,파라텍,홈센타홀딩스,033540,060560
원자력,비에이치아이,한국테크놀로지,083650,053590
대형 건설사,삼성물산,삼성엔지니어링,028260,028050
면세점,신세계,토니모리,004170,214420
LNG선 - 기자재,디케이락,한국카본,105740,017960
건설기계,프리엠스,동일금속,053160,109860
자원개발,서울가스,대성산업,017390,128820
발전 - 풍력,효성,DMS,004800,068790
발전 - 태양광,윌링스,대성파인텍,313760,104040
SNS(소셜네트워크서비스),카카오,이루온,035720,065440
수산,사조대림,한성기업,003960,003680
갤럭시 부품주,캠시스,시노펙스,050110,025320
화학섬유,태광산업,성안,003240,011300
탄소나노튜브(CNT),상보,금호석유,027580,011780
플렉서블 디스플레이,삼성전자,HB솔루션,005930,297890
LED,파커스,삼성전자,065690,005930
케이블TV SO/MSO,태광산업,현대홈쇼핑,003240,057050
모바일게임(스마트폰),KH 전자,크래프톤,111870,259960
NFT(대체불가토큰),에이스토리,엔비티,241840,236810
폴더블폰,삼성전자,상보,005930,027580
지주사,평화홀딩스,GRT,010770,900290
공기청정기,삼성전자,LG전자,005930,066570
日제품 불매운동(수혜),배럴,리드코프,267790,012700
