티커,시가,고가,저가,종가,거래량,거래대금,등락률
253610,2015,2015,2010,2010,700,1407050,-14.83
085370,17100,17550,16750,17100,611768,10468872250,3.64
08537M,22700,28900,22700,23900,1127,27843850,5.75
060240,4525,4555,4245,4310,258665,1122965470,-4.22
058470,129900,131800,125200,126000,37944,4825264300,-3.82
039980,873,885,845,859,170680,147961088,-2.94
019570,411,415,397,398,443677,178810310,-3.86
016100,2450,2450,2355,2420,41800,99560850,-1.22
012700,8040,8240,7900,8080,170552,1374385630,1.0
302550,12200,12450,11750,11950,21960,264438600,-2.05
377450,11250,11250,10950,11150,30835,342474150,0.0
277070,4400,4595,4265,4270,24813,108376945,-3.61
042500,4150,4200,4050,4130,41569,171283190,0.0
219420,5390,5420,5110,5220,28196,147566180,-3.15
027740,1500,1550,1455,1505,439952,658882865,-0.66
195500,3585,3725,3450,3525,93338,330148375,-2.08
357430,5010,5020,4845,4870,66935,327750100,-3.75
222810,1895,2340,1795,1925,11618935,24713046220,1.32
305090,4515,4640,4280,4315,42651,189233425,-4.43
098120,5930,6100,5680,5830,70985,415540080,-3.64
147760,4560,4595,4360,4485,22966,102885235,-2.07
377480,14600,14600,13600,13900,28403,394030650,-2.11
038290,24500,24800,24100,24400,12298,300473450,-0.41
204320,47500,47850,45800,46750,210632,9788499050,-1.37
001080,20600,21700,20600,21350,3588,76319550,1.91
267980,57900,58500,57200,58300,8025,464306400,1.22
005990,9000,9090,8770,8950,4808,42832680,-0.56
127160,0,0,0,282,0,0,0.0
093520,7550,7720,7200,7430,75244,558576290,-2.62
377030,16500,16700,15350,16000,213207,3399397350,-1.54
088980,12350,12400,11850,12150,2925207,35245922500,-1.62
094800,4565,4565,4485,4530,29729,134107450,-0.77
100590,6280,6470,6010,6340,31497,192411690,1.12
067280,39500,39500,37800,38450,7005,269577300,-2.66
072870,11200,11200,10700,10850,71699,779826800,-3.13
215200,75300,76400,73900,75500,26704,2004864800,0.27
133750,2415,2470,2310,2470,90654,214729650,3.13
235980,22950,23150,21150,21450,152092,3306540800,-6.54
200580,12300,12300,12300,12300,264,3247200,0.0
041920,4275,4290,4050,4075,53156,217749850,-3.55
233250,32850,32850,31500,32600,7,223150,0.15
014100,3785,3895,3680,3750,24378,91549185,-1.83
236340,9200,9400,9000,9180,1358,12376770,0.77
054180,0,0,0,540,0,0,0.0
086900,111500,112100,109600,110800,13738,1524133900,-0.72
078160,18350,18450,17800,18050,46464,840970200,-1.1
065650,1500,1525,1455,1480,61995,91686480,-1.66
138040,26450,26900,25500,25900,97471,2541083000,-1.15
008560,4630,4675,4455,4575,1110061,5034687635,-1.19
000060,33700,34250,33100,34050,125746,4238553600,1.04
021880,578,581,531,554,2491539,1384901888,-2.29
140410,16200,17200,15950,16950,269276,4522153900,6.27
241770,10100,10250,9920,9990,7051,70491030,-0.6
090370,1010,1025,799,860,4699603,4256194411,-14.85
059210,2195,2230,2075,2135,119747,256367545,-2.06
058110,4605,4745,4570,4670,39821,185499935,0.97
096640,0,0,0,1495,0,0,0.0
