테마,종목1,종목2,종목코드1,종목코드2,어제종가1,그제종가1,어제종가2,그제종가2
바이오 - 이중항체,한미약품,종근당,128940,185750,318500,297500,88100,87600
스마트그리드,일진전기,피앤씨테크,103590,237750,7560,7480,7040,6710
반도체 - 전공정 소재,에프에스티,솔브레인홀딩스,036810,036830,14750,14250,19800,18750
수소차 - 인프라,제이엔케이히터,효성첨단소재,126880,298050,5630,5200,378000,370500
MLCC,알에프세미,코스모신소재,096610,005070,3055,2875,47700,45200
음식료업종,SPC삼립,동서,005610,026960,80900,80900,26450,26550
중소형 건설사,서한,범양건영,011370,002410,1335,1440,4910,4935
전기차 - 배터리 소재·부품,에코프로비엠,후성,247540,093370,120400,111800,18300,17650
전자결제(전자화폐),쿠콘,카카오페이,294570,377300,32450,31250,63900,60800
건자재 - 거푸집,금강공업,덕신하우징,014280,090410,7390,7300,2150,2105
치아 치료(임플란트 등),덴티스,나이벡,261200,138610,8750,8750,24000,23650
싸이월드 관련주,한컴MDS,NHN벅스,086960,104200,11600,11100,8740,8320
의류 소재,경방,태광산업,000050,003240,12200,12000,914000,918000
수소차 - 연료전지,평화홀딩스,시노펙스,010770,025320,3250,3175,3340,3075
비철금속 - 알루미늄,조일알미늄,DI동일,018470,001530,1595,1540,15800,15300
양돈주,선진,팜스코,136490,036580,9950,9700,4865,4670
구제역/광우병 수혜,우진비앤지,우성,018620,006980,2170,2145,24500,23950
전기차 - 부품,한온시스템,LG전자,018880,066570,9920,10200,95500,90200
택배와 종합물류,CJ대한통운,현대글로비스,000120,086280,121500,117500,182500,183000
자동차 연비개선 - 경량화,에코플라스틱,일지테크,038110,019540,2640,2610,2390,2310
클라우드 컴퓨팅,케이사인,SK텔레콤,192250,017670,1715,1720,54200,53600
철강 중소형업체,한국특강,만호제강,007280,001080,2425,2380,22300,21350
폐기물처리,KC그린홀딩스,코엔텍,009440,029960,5210,5090,8490,8490
은행,카카오뱅크,푸른저축은행,323410,007330,30600,29450,8550,8380
"주류업(주정, 에탄올 등)",MH에탄올,한국알콜,023150,017890,8360,8190,9700,9480
화학 - NCC,한국알콜,태광산업,017890,003240,9700,9480,914000,918000
콜드체인,지씨셀,태경케미컬,144510,006890,58500,53700,14850,14200
신용정보 (신용평가),NICE,한국기업평가,034310,034950,15150,15250,74500,73200
강관,휴스틸,세아제강지주,005010,003030,21950,21950,143000,139500
건자재 - 기타,와토스코리아,동화기업,079000,025900,5350,5360,61700,60000
RFID(NFC 등),유비벨록스,삼성전자,089850,005930,14050,13800,57200,57100
토스 관련주,다올투자증권,한화투자증권,030210,003530,4260,4150,3385,3150
화장품 원재료 및 부자재,펌텍코리아,대봉엘에스,251970,078140,15100,15000,7300,7050
국내 상장한 중국주,골든센츄리,씨케이에이치,900280,900120,371,348,247,240
남북경협 - DMZ,코리아에스이,자연과환경,101670,043910,2050,2020,1405,1375
키즈,캐리소프트,손오공,317530,066910,5620,5540,2215,2165
SI(시스템통합),오파스넷,정원엔시스,173130,045510,6720,6440,2185,2115
부동산 - 개발·신탁·리츠,리파인,미래에셋맵스리츠,377450,357250,11350,11150,4290,4260
반도체 - 후공정 장비,고영,디아이,098460,003160,13550,13350,5780,5690
손해보험,메리츠화재,흥국화재,000060,000540,34750,34050,3205,3210
지능형 로봇·인공지능(AI),아진엑스텍,알에프세미,059120,096610,9380,9120,3055,2875
편의점,이마트,롯데지주,139480,004990,107000,106000,37050,37350
디지털 키오스크,파인디지털,에스원,038950,012750,5610,5770,64600,65400
벤처캐피탈(VC),DSC인베스트먼트,미래에셋벤처투자,241520,100790,4070,3960,5620,5270
비철금속 - 구리,LS ELECTRIC,풍산홀딩스,010120,005810,59100,56000,25400,24850
유아용품,매일유업,남양유업,267980,003920,59700,58300,371000,366000
카메라모듈/부품,캠시스,퓨런티어,050110,370090,2225,2190,31000,30200
농업 - 종자·비료·농약,성보화학,아시아종묘,003080,154030,3630,3500,4370,4280
지진,코리아에스이,KT서브마린,101670,060370,2050,2020,6200,5910
철도,제룡전기,피앤씨테크,033100,237750,7130,7250,7040,6710
패션/의류,공구우먼,국동,366030,005320,42800,32950,1915,1805
사물인터넷,핸디소프트,이아이디,220180,093230,4145,4135,1270,1270
전기차 - 배터리 공정장비,티에스아이,디와이피엔에프,277880,104460,9640,9570,38000,37400
야놀자 관련주,한화생명,한화투자증권,088350,003530,2250,2240,3385,3150
남북경협 - 광물자원개발,시노펙스,SH에너지화학,025320,002360,3340,3075,1000,991
골프,베뉴지,크리스에프앤씨,019010,110790,2225,2215,34300,33350
타이어,금호타이어,골든센츄리,073240,900280,3475,3500,371,348
반도체·디스플레이 - 이송장비,에스에프에이,로체시스템즈,056190,071280,39600,39100,6060,5880
제습기,삼성전자,파세코,005930,037070,57200,57100,17650,18000
무선충전,알에프텍,이랜텍,061040,054210,5130,5020,18800,18150
쿠팡 관련주,엔비티,NEW,236810,160550,6870,6620,6510,6360
골판지 제조,대양제지,신대양제지,006580,016590,3260,3260,86800,86800
농업 - 농기계,대동기어,TYM,008830,002900,7120,6910,2515,2450
드론·플라잉카,피씨디렉트,한빛소프트,051380,047080,14000,14150,3115,2985
CCTV,인콘,에스원,083640,012750,1025,971,64600,65400
스마트팩토리 (제조용 로봇),현대무벡스,우신시스템,319400,017370,3040,2990,2350,2270
방위산업,웨이브일렉트로,이엠코리아,095270,095190,5090,4875,2805,2660
코로나19(화이자),유한양행,파미셀,000100,005690,57700,57000,11550,10900
피팅·밸브,에쎈테크,화성밸브,043340,039610,1290,1310,5400,5080
마이크로 LED,삼성전자,LG전자,005930,066570,57200,57100,95500,90200
비철금속-니켈,현대비앤지스틸,황금에스티,004560,032560,12600,12050,6830,6560
조선 대표주,HJ중공업,현대중공업,097230,329180,6900,6900,135000,135500
여름,배럴,에쎈테크,267790,043340,7760,7600,1290,1310
항공·우주,아스트,인텔리안테크,067390,189300,5090,5060,60800,59600
화재,파라텍,홈센타홀딩스,033540,060560,1525,1475,1130,1105
