시가,고가,저가,종가,거래량,거래대금,등락률
9480,9560,9430,9540,918083,8727075300,1.06
1960,2045,1955,1960,1005548,2008235190,0.51
3170,3485,3170,3345,192500,642041365,4.86
19700,20300,19600,19750,418,8269400,0.25
12000,12600,11850,12350,414006,5071511700,2.07
2045,2110,2045,2105,532262,1111096475,3.19
22450,22450,22000,22250,1513,33669650,2.53
2150,2235,2150,2235,81194,178639175,4.2
365500,371500,365000,371000,820,300699500,1.37
201000,203500,200000,203500,83,16690500,1.24
9220,9600,9220,9600,382007,3614848610,4.12
3425,3485,3420,3485,5702,19715205,1.75
3125,3125,3025,3040,2344,7187435,-2.09
5210,5440,5210,5400,116669,625636100,3.65
2720,2770,2630,2770,2559,6889855,2.21
68200,69700,67800,68900,143544,9877456600,1.03
8130,8390,8130,8380,82661,684273550,3.08
14700,15000,14700,14950,1098,16342000,1.7
10750,10900,10650,10900,3725,40169250,2.35
24450,25350,24450,24950,1483,37010000,1.42
163000,167500,161500,167500,28534,4740046500,2.76
18800,19600,18800,19400,43541,842884200,2.37
56500,59700,56500,57800,5473,317057000,-0.34
289000,291500,286000,291500,27614,8013942500,1.75
67700,68700,67600,68500,920,62732300,1.33
6330,6380,5900,6170,3107958,19165113060,2.32
4185,4270,4160,4260,131594,555014420,2.65
17050,17800,16900,17800,58367,1017803900,4.71
4545,4830,4535,4575,13614,62944840,0.66
2825,2880,2735,2845,50817,142728700,1.79
2140,2195,2140,2195,4497,9776410,2.81
11250,11250,10950,11200,3057,33952750,2.28
6080,6210,6080,6180,43836,270230510,1.48
9010,9400,9010,9270,1041,9509210,1.31
26050,27050,25900,26500,691656,18281281850,3.72
11350,11800,11300,11700,6047,69816600,3.08
10800,11450,10750,11350,251179,2806283350,5.58
6110,6270,6050,6270,20224,125246320,2.45
4825,4950,4800,4900,21014,102565965,2.08
3640,3785,3635,3755,5167,19178090,2.04
22100,22150,21450,21650,104406,2261741800,-1.14
16150,16200,15950,16100,2580,41445850,0.0
7900,8090,7520,7970,38306,304612190,1.01
9950,10200,9820,10200,9562,95055300,3.55
5040,5180,4995,5180,376551,1925179860,2.78
10750,11200,10700,11150,344883,3782618750,2.29
75100,76400,74200,76400,90894,6791010200,2.14
14650,15000,14650,14950,14570,217001450,1.7
12900,13200,12900,13200,4766,62348600,2.33
13750,13750,13550,13750,9105,124649250,1.1
3280,3470,3280,3435,282968,960245210,3.15
1530,1615,1530,1605,503381,799273235,5.59
5770,5890,5680,5730,1185126,6822903310,0.0
1675,1770,1675,1755,69240,120227990,3.85
22300,22450,21600,22200,376917,8292331350,0.0
27500,27800,26850,27050,28124,765773300,0.37
174000,178000,172000,178000,39164,6881576000,2.59
2780,2800,2755,2755,38371,106915185,0.73
1420,1475,1420,1470,481662,699773725,3.52
2550,2575,2550,2555,13384,34202160,0.2
15400,16400,15400,16050,173163,2782576100,3.88
2305,2435,2300,2415,134279,321091790,5.92
